subentry,measure,reaction,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"10047010","CS","N,TOT","Cross section for 14N(n,Total)","2.268","14.996","241","True","D.G.Foster Jr,D.W.Glasgow","1971","Physical Review,Part C,Nuclear Physics 3,576 (1971)"
"10283002","DA","N,EL","Differential c/s with respect to angle for 14N(n,Elastic)14N","4.34","8.56","136","False","F.G.Perey,W.E.Kinney","1974","Report other than progress report: ORNL-4805  (1974)"
"10283011","CS","N,EL","Cross section for 14N(n,Elastic)14N","4.34","8.56","8","True","F.G.Perey,W.E.Kinney","1974","Report other than progress report: ORNL-4805  (1974)"
"10331003","DA","N,EL","Differential c/s with respect to angle for 14N(n,Elastic)14N","7.4","9.5","24","True","W.P.Bucher,C.E.Hollandsworth,D.Mc Natt,R.Lamoreaux,A.Niiler,J.E.Youngblood","1974","Nuclear Science and Engineering 54,416 (1974); Report other than progress report: BRL-R-1652  (1973); Nuclear Instrum.and Methods in Physics Res. 111,237 (1973)"
"10437003","DA","N,EL","Differential c/s with respect to angle for 14N(n,Elastic)14N","6.25","9.29","22","True","D.L.Bernard,M.C.Taylor","1975","Conf.on Nucl.Cross-Sect.and Techn.,Washington 1975 2,938 (1975)"
"10776013","CS","N,2N","Cross section for 14N(n,2n)13N","14.6","14.6","1","True","R.A.Sigg","1976","Thesis or dissertation: Sigg  (1976); Dissertation Abstracts B (Sciences) 37,2237 (1976)"
"10789002","CS","N,P","Cross section for 14N(n,p)14C","0.464","6.857","432","True","G.L.Morgan","1979","Nuclear Science and Engineering 70,163 (1979)"
"10789003","CS","N,A","Cross section for 14N(n,alpha)11B","1.32","4.097","239","True","G.L.Morgan","1979","Nuclear Science and Engineering 70,163 (1979)"
"10789005","CS","N,A","Partial cross section for 14N(n,alpha)11B","4.107","14.495","153","True","G.L.Morgan","1979","Nuclear Science and Engineering 70,163 (1979)"
"11014003","CS","N,G","Spectrum average Cross section for 14N(n,gamma)15N","2.53e-08","2.53e-08","1","True","G.A.Bartholomew,P.J.Campion","1957","Canadian Journal of Physics 35,1347 (1957)"
"11097007","CS","N,2N","Cross section for 14N(n,2n)13N","14.1","14.1","1","True","V.J.Ashby,H.C.Catron,L.L.Newkirk,C.J.Taylor","1958","Physical Review 111,616 (1958)"
"11100003","CS","N,P","Cross section for 14N(n,p)14C","0.029","0.35","13","False","J.H.Gibbons,R.L.Macklin","1959","Physical Review 114,571 (1959); Physical Review 109,105 (1958)"
"11189026","CS","N,2N","Spectrum average Cross section for 14N(n,2n)13N","14.3","14.3","1","True","B.L.Cohen","1951","Physical Review 81,184 (1951)"
"11263003","CS","N,2N","Spectrum average Cross section for 14N(n,2n)13N","14.0","14.0","1","False","J.E.Strain,W.J.Ross","1965","Report other than progress report: ORNL-3672  (1965)"
"11268002","CS","N,2N","Cross section for 14N(n,2n)13N","13.2","15.34","8","True","J.H.Mc Crary,I.L.Morgan","1960","Bulletin of the American Physical Society 5,246(HA5) (1960); Report other than progress report: AFSWC-TR-60-30  (1960)"
"11274002","CS","N,2N","Cross section for 14N(n,2n)13N","14.5","14.5","1","True","E.B.Paul,R.L.Clarke","1953","Canadian Journal of Physics 31,267 (1953)"
"11281002","CS","N,T","Cross section for 14N(n,t)12C","5.328","8.198","66","True","F.Gabbard,H.Bichsel,T.W.Bonner","1959","Nuclear Physics 14,277 (1959)"
"11281007","CS","N,A","Cross section for 14N(n,alpha)11B","1.28","4.92","184","True","F.Gabbard,H.Bichsel,T.W.Bonner","1959","Nuclear Physics 14,277 (1959)"
"11281008","CS","N,P","Cross section for 14N(n,p)14C","1.29","4.14","132","True","F.Gabbard,H.Bichsel,T.W.Bonner","1959","Nuclear Physics 14,277 (1959)"
"11281016","CS","N,A","Partial cross section for 14N(n,alpha)11B","4.135","8.198","115","True","F.Gabbard,H.Bichsel,T.W.Bonner","1959","Nuclear Physics 14,277 (1959)"
"11289002","CS","N,2N","Cross section for 14N(n,2n)13N","14.1","14.1","1","True","N.W.Golchert,D.G.Gardner,J.Sedlet","1965","Nuclear Physics 73,349 (1965)"
"11292002","CS","N,TOT","Cross section for 14N(n,Total)","1.635","3.98","196","True","C.H.Johnson,H.B.Willard,J.K.Bair,J.D.Kington","1953","Progress report: ORNL-1365 1 (1953)"
"11296002","CS","N,A","Cross section for 14N(n,alpha)11B","1.005","2.11","70","False","C.H.Johnson,H.H.Barschall","1950","Physical Review 80,818 (1950)"
"11296003","CS","N,P","Cross section for 14N(n,p)14C","0.148","2.15","184","False","C.H.Johnson,H.H.Barschall","1950","Physical Review 80,818 (1950)"
"11299002","CS","N,TOT","Cross section for 14N(n,Total)","0.17","1.79","178","True","J.J.Hinchey,P.H.Stelson,W.M.Preston","1952","Physical Review 86,483 (1952)"
"11299003","CS","N,TOT","Cross section for 14N(n,Total)","0.157","1.0","106","False","J.J.Hinchey,P.H.Stelson,W.M.Preston","1952","Physical Review 86,483 (1952)"
"11307002","CS","N,2N","Cross section for 14N(n,2n)13N","14.0","14.0","1","True","J.D.Dudley,C.M.Class","1954","Physical Review 94,807(F8) (1954)"
"11314002","DA","N,EL","Differential c/s with respect to angle for 14N(n,Elastic)14N","0.8","2.36","332","False","J.L.Fowler,C.H.Johnson","1955","Physical Review 98,728 (1955)"
"11328002","CS","N,2N","Cross section for 14N(n,2n)13N","14.4","14.4","1","True","L.A.Rayburn","1961","Physical Review 122,168 (1961); Bulletin of the American Physical Society 3,365(G13) (1958)"
"11339002","CS","N,P","Partial cross section for 14N(n,p)14C","5.01","13.04","10","True","J.D.Anderson,C.Wong","1966","Progress report: UCRL-50001-66-2 19 (1966)"
"11356002","CS","N,2N","Cross section for 14N(n,2n)13N","12.41","17.98","6","True","J.M.Ferguson,W.E.Thompson","1960","Physical Review 118,228 (1960)"
